country;country_code;UEFA_2018_19;UEFA_2019_20;UEFA_2020_21;UEFA_2021_22;UEFA_2022_23;UEFA_2023_24;UEFA_2024_25;AFC_2018;AFC_2019;AFC_2021;AFC_2022;AFC_2023_24;AFC_2024_25;FIFA_2018_09_20;FIFA_2019_09_19;FIFA_2020_09_17;FIFA_2021_09_16;FIFA_2022_08_25;FIFA_2023_09_21;FIFA_2024_09_19;FIFA_2025_09_18
Ukraine;UKR;5600;7200;6800;4200;5700;4100;3600;0;0;0;0;0;0;1483;1516;1539;1520,07;1542,79;1538,42;1548,29;1543,06
Russia;RUS;7583;4666;4333;5100;4333;4333;4333;0;0;0;0;0;0;1423;1455;1485;1475,43;1493,42;1495,53;1508,73;1521,74
Azerbaijan;AZE;2375;3375;2500;4375;4000;5875;2875;0;0;0;0;0;0;1202;1191;1179;1158,46;1127,17;1147,69;1173,15;1148,09
Uzbekistan;UZB;0;0;0;0;0;0;0;9400;9000;8960;10057;11250;10333;1245;1272;1290;1282,27;1306,63;1328,35;1413,06;1453,31
Armenia;ARM;1500;2750;1375;1875;2375;2250;4375;0;0;0;0;0;0;1225;1242;1215;1262,4;1242,42;1254,47;1230,43;1219,55
Moldova;MDA;1125;750;1375;5250;3750;2000;2125;0;0;0;0;0;0;958;978;959;940,3;944,96;1010,1;1042,81;1019,2
Latvia;LVA;1625;2250;1375;2625;2750;1625;3875;0;0;0;0;0;0;1116;1075;1076;1092,45;1125,36;1089,99;1097,98;1088,8
Kazakhstan;KAZ;4250;3375;1000;2875;1125;3125;3000;0;0;0;0;0;0;1160;1169;1156;1151,18;1166,28;1206,94;1193,21;1158,06
Georgia;GEO;1625;2250;1750;1250;1125;1250;1250;0;0;0;0;0;0;1254;1264;1274;1240,87;1296,46;1299,32;1378,22;1377,32
Kyrgyzstan;KGZ;0;0;0;0;0;0;0;150;2433;835;565;11167;4600;1265;1237;1240;1230,6;1232,91;1228,6;1201,11;1201,22
Estonia;EST;500;875;1375;3666;1166;125;1625;0;0;0;0;0;0;1240;1212;1188;1174,44;1177,4;1172,25;1140,39;1127,2
Lithuania;LTU;2625;1625;1625;1750;2375;1125;1375;0;0;0;0;0;0;1123;1094;1093;1082,2;1074,08;1072,21;1090,89;1065,34
Belarus;BLR;5000;2500;1500;250;625;1750;1875;0;0;0;0;0;0;1304;1294;1282;1254,81;1226,55;1198,22;1229,07;1223,54
Turkmenistan;TKM;0;0;0;0;0;0;0;7583;5267;3125;2640;3078;7450;1120;1094;1107;1117,6;1100,47;1086,12;1065,42;1087,96
Tajikistan;TJK;0;0;0;0;0;0;0;4433;3000;4970;2493;2100;3276;1156;1174;1148;1157,77;1179,1;1183,01;1208,01;1206,15
